IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,X,Y
Prospecto,Risaralda,Quinchía,Quinchía,5.294444,-75.6925,Oro-Au,Pirita-FeS2,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.6925,5.294444
Ocurrencia,Caldas,Marulanda,Marulanda,5.3155,-75.32941,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.32941,5.3155
Ocurrencia,Caldas,Marquetalia,Victoria,5.31901,-74.961596,Cobre-Cu,Pirita-FeS2,Epitermal,ROCA_METAMÓRFICA,-74.961596,5.31901
Ocurrencia,Caldas,Aranzazu,Aranzazu,5.320167,-75.50263,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.50263,5.320167
Productor pasado - Subterráneo,Caldas,Aranzazu,Aranzazu,5.320639,-75.502531,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_VOLCANICLÁSTICA,-75.502531,5.320639
Ocurrencia,Caldas,Aranzazu,Aranzazu,5.320711,-75.50279,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.50279,5.320711
Ocurrencia,Caldas,Riosucio,Quinchia,5.340226,-75.63802,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.63802,5.340226
Ocurrencia,Caldas,Filadelfia,La Felisa,5.358275,-75.60692,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.60692,5.358275
Productor pasado - Subterráneo,Caldas,Riosucio,Riosucio,5.386923,-75.75627,Antimonio-Sb,Estibina o Antimonita-Sb2S3,Epitermal,ROCA_ÍGNEA_VOLCANICLÁSTICA,-75.75627,5.386923
Ocurrencia,Caldas,Riosucio,Mistrató,5.395224,-75.852196,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.852196,5.395224
Ocurrencia,Caldas,Salamina,San Félix,5.413,-75.395515,Oro-Au,Oro-Au,Epitermal,ROCA_SEDIMENTARIA,-75.395515,5.413
Ocurrencia,Caldas,Salamina,Salamina,5.41799,-75.49971,Plata-Ag,Pirita-FeS2,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.49971,5.41799
Productor pasado - Subterráneo,Caldas,Riosucio,Ríosucio,5.436988,-75.699845,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCANICLÁSTICA,-75.699845,5.436988
Productor pasado - Subterráneo,Caldas,Riosucio,Ríosucio,5.450945,-75.69968,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.69968,5.450945
Productor - Subterráneo,Caldas,Marmato,Marmato,5.474,-75.601,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.601,5.474
Ocurrencia,Caldas,Marmato,Marmato,5.48,-75.61,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.61,5.48
Productor pasado - Subterráneo,Caldas,Aguadas,Pácora,5.48464,-75.3497,Oro-Au,Galena-PbS,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.3497,5.48464
Productor pasado - Subterráneo,Caldas,Aguadas,Pácora,5.493835,-75.3394,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.3394,5.493835
Ocurrencia,Caldas,Pácora,Pácora,5.503001,-75.5233,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.5233,5.503001
Ocurrencia,Antioquia,Andes,La Mesenia,5.520984,-75.908668,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.908668,5.520984
Productor pasado - Subterráneo,Caldas,Pácora,Miraflores,5.548006,-75.565796,Plata-Ag,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.565796,5.548006
Ocurrencia,Antioquia,Andes,La Borraja,5.549473,-75.90873,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.90873,5.549473
Ocurrencia,Antioquia,Andes,La Avanzada,5.549692,-75.896268,Oro-Au,Pirita-FeS2,Epitermal,ROCA SEDIMENTARIA,-75.896268,5.549692
Productor - Subterráneo,Antioquia,Andes,La Avanzada,5.55013,-75.898171,Oro-Au,Pirita-FeS2,Epitermal,ROCA SEDIMENTARIA,-75.898171,5.55013
Ocurrencia,Caldas,Pácora,Pácora,5.55179,-75.489449,Mercurio-Hg,Mercurio-Hg,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.489449,5.55179
Productor pasado - Subterráneo,Caldas,Aguadas,Marmato,5.552862,-75.575516,Plata-Ag,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.575516,5.552862
Productor pasado - Subterráneo,Antioquia,Andes,La Borraja,5.555676,-75.909358,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.909358,5.555676
Productor - Subterráneo,Antioquia,Andes,Reserva Forestal,5.556553,-75.937095,Oro-Au,Pirita-FeS2,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.937095,5.556553
Productor - Subterráneo,Antioquia,Andes,Reserva Forestal,5.560073,-75.938802,Oro-Au,Arsenopirita-FeAsS,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.938802,5.560073
Ocurrencia,Antioquia,Andes,San Antonio,5.580549,-75.896604,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.896604,5.580549
Prospecto,Caldas,Aguadas,El Jordán,5.581554,-75.525152,Plata-Ag,Plata-Ag,Epitermal,ROCA_ÍGNEA_PLUTÓNICA,-75.525152,5.581554
Productor pasado - Subterráneo,Antioquia,Andes,Reserva Forestal,5.581628,-75.965771,Oro-Au,Pirita-FeS2,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.965771,5.581628
Ocurrencia,Antioquia,Andes,San Antonio,5.590575,-75.918882,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.918882,5.590575
Productor pasado - Subterráneo,Antioquia,Andes,La Soledad,5.590788,-75.927641,Oro-Au,Pirita-FeS2,Epitermal,ROCA SEDIMENTARIA,-75.927641,5.590788
Productor pasado - Subterráneo,Antioquia,Valparaíso,Valparaiso,5.591746,-75.63433,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.63433,5.591746
Productor pasado - Subterráneo,Antioquia,Valparaíso,Valparaiso,5.591933,-75.62194,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.62194,5.591933
Productor pasado - Subterráneo,Antioquia,Valparaíso,Valparaiso,5.592814,-75.62743,Oro-Au,Oro-Au,Epitermal,ROCA_SUBVOLCÁNICA_HIPOABISAL,-75.62743,5.592814
Productor pasado - Subterráneo,Antioquia,Andes,Reserva Forestal,5.593879,-75.97844,Oro-Au,Pirita-FeS2,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.97844,5.593879
Productor pasado - Subterráneo,Antioquia,Valparaíso,Valparaiso,5.594754,-75.62224,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.62224,5.594754
Productor - Subterráneo,Antioquia,Andes,Reserva Forestal,5.596861,-75.955306,Oro-Au,,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.955306,5.596861
Productor - Subterráneo,Antioquia,Andes,San Agustín,5.597083,-75.947111,Oro-Au,,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.947111,5.597083
Productor pasado - Subterráneo,Antioquia,Andes,La Soledad,5.601583,-75.931806,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.931806,5.601583
Productor - Subterráneo,Antioquia,Andes,La Soledad,5.602595,-75.930427,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.930427,5.602595
Ocurrencia,Antioquia,Andes,Reserva Forestal,5.604718,-75.949305,Oro-Au,,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.949305,5.604718
Ocurrencia,Antioquia,Andes,Reserva Forestal,5.605054,-75.950153,Oro-Au,Pirita-FeS2,Epitermal,ROCA ÍGNEA PLUTÓNICA,-75.950153,5.605054
Productor pasado - Subterráneo,Antioquia,Andes,La Soledad,5.608306,-75.923111,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.923111,5.608306
Ocurrencia,Antioquia,Andes,La Clara,5.610284,-75.905117,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.905117,5.610284
Productor pasado - Subterráneo,Antioquia,Andes,Egipto,5.612491,-75.909986,Oro-Au,Pirita-FeS2,Epitermal,ROCA SEDIMENTARIA,-75.909986,5.612491
Productor pasado - Subterráneo,Antioquia,Andes,San Agustín,5.614292,-75.926182,Oro-Au,Pirita-FeS2,Epitermal,ROCA SEDIMENTARIA,-75.926182,5.614292
Productor pasado - Subterráneo,Antioquia,Andes,San Agustín,5.622309,-75.928141,Oro-Au,,Epitermal,ROCA SEDIMENTARIA,-75.928141,5.622309
